Frage;Antwort
"Wie lautet die Gleichung der Normalparabel und wo liegt ihr Scheitelpunkt?";"f(x) = x², Scheitelpunkt S(0|0), nach oben geöffnet."
"Wie lautet die Scheitelpunktform einer Parabel?";"f(x) = a(x − r)² + s mit Scheitelpunkt S(r|s)."
"Wo liegt der Scheitelpunkt von f(x) = (x − 1)² + 2 ?";"S(1|2)."
"Wie lautet die allgemeine Form der quadratischen Funktion?";"y = ax² + bx + c mit a ≠ 0."
"Was bewirkt der Koeffizient a in y = ax² + bx + c?";"a > 0 nach oben, a < 0 nach unten geöffnet; |a| > 1 steiler, |a| < 1 flacher als die Normalparabel."
"Was bedeutet c in y = ax² + bx + c?";"c ist der y-Achsenabschnitt (Schnittpunkt mit der y-Achse)."
"Wie kommt man von der allgemeinen Form zur Scheitelpunktform?";"Durch quadratische Ergänzung – den Ergänzungsterm addieren und wieder subtrahieren."
"Wandle g(x) = 1,5x² − 6x + 4,5 in die Scheitelpunktform um.";"g(x) = 1,5(x − 2)² − 1,5, Scheitelpunkt S(2|−1,5)."
"Wie lautet die p-q-Formel?";"x₁,₂ = −p/2 ± √((p/2)² − q) für x² + px + q = 0."
"Wie viele Lösungen hat eine quadratische Gleichung?";"D > 0: zwei, D = 0: eine, D < 0: keine reelle Lösung (D = (p/2)² − q)."
"Löse x² − 4x + 3 = 0.";"x₁,₂ = 2 ± √(4−3) = 2 ± 1 → x₁ = 3, x₂ = 1."
"Wie berechnet man Schnittpunkte einer Parabel mit einer Geraden?";"Funktionsterme gleichsetzen, auf 0 bringen, mit der p-q-Formel lösen, x-Werte einsetzen."
"Was ist die Wurzelfunktion und wovon ist sie die Umkehrfunktion?";"f(x) = √x; Umkehrfunktion von f(x) = x² für x ≥ 0. Graf = Spiegelung an y = x."
"Unterschied Potenzfunktion und Exponentialfunktion?";"Potenzfunktion f(x) = xⁿ – Variable in der Basis; Exponentialfunktion f(x) = aˣ – Variable im Exponenten."
"Wie sieht der Graf von xⁿ bei geradem bzw. ungeradem n aus?";"Gerades n: achsensymmetrisch zur y-Achse (parabelähnlich); ungerades n: punktsymmetrisch zum Ursprung."
"Potenzgesetz: aᵐ · aⁿ = ?";"aᵐ⁺ⁿ – bei gleicher Basis die Exponenten addieren."
"Potenzgesetz: (aᵐ)ⁿ = ?";"aᵐ·ⁿ – eine Potenz wird potenziert, indem die Exponenten multipliziert werden."
"Was ist a⁻ⁿ und a⁰?";"a⁻ⁿ = 1/aⁿ; a⁰ = 1 (für a ≠ 0)."
"Wie schreibt man die n-te Wurzel als Potenz?";"ⁿ√a = a^(1/n)."
"Durch welchen Punkt geht jede Exponentialfunktion f(x) = aˣ?";"Durch (0|1), denn a⁰ = 1."
"Wann beschreibt f(x) = aˣ Wachstum, wann Zerfall?";"a > 1 → Wachstum (steigend); 0 < a < 1 → Zerfall (fallend)."
"Bakterienmasse verdreifacht sich stündlich – Funktionsgleichung?";"f(x) = 3ˣ."
"Definiere den Logarithmus log_a b.";"Der Exponent, mit dem die Basis a potenziert werden muss, um b zu erhalten. b heißt Numerus."
"Wie viel ist log₂ 8 und warum?";"3, denn 2³ = 8."
"Was bedeuten lg, ln und ld?";"lg = log₁₀ (dekadisch), ln = log_e (natürlich), ld/lb = log₂ (dual/binär)."
"Wie lautet die Formel für den Basiswechsel?";"log_a x = lg x / lg a."
"Logarithmengesetz für ein Produkt?";"lg(u·v) = lg u + lg v."
"Logarithmengesetz für eine Potenz?";"lg(uⁿ) = n · lg u."
"Was ist eine transzendente Gleichung?";"Eine Gleichung, bei der die Variable im Exponenten steht – nicht in Polynomform bringbar (z. B. 6ˣ = 330)."
"Wie löst man 6ˣ = 330 ?";"Logarithmieren: x·lg 6 = lg 330 → x = lg330/lg6 ≈ 3,2365."
"Wie löst man 2 · 1,5ˣ = 100 ?";"Erst isolieren: 1,5ˣ = 50 → x = lg50/lg1,5 ≈ 9,6482."
"Wohin verschiebt (x − 2)² die Parabel?";"Nach rechts! Merkhilfe: für welches x wird die Klammer null? Bei x = +2."
"Wie erkennst du den Scheitelpunkt als Maximum oder Minimum?";"a < 0 (nach unten geöffnet) → Maximum; a > 0 → Minimum."
"Wie löst man Optimierungsaufgaben ohne Differentialrechnung?";"Zielgröße als quadratische Funktion aufstellen und den Scheitelpunkt bestimmen."
"80 m Bauzaun, größte Rechteckfläche – welche Maße?";"20 × 20 m = 400 m² – von allen Rechtecken gleichen Umfangs hat das Quadrat die größte Fläche."
"Warum muss man vor der p-q-Formel normieren?";"Die Formel gilt nur bei Faktor 1 vor x² – sonst erst durch a teilen."
"Was bedeutet eine negative Lösung bei einer Sachaufgabe?";"Sie ist rechnerisch richtig, aber physikalisch unmöglich (z. B. negative Länge) – verwerfen."
"Warum ist ein Träger doppelter Höhe viermal so tragfähig?";"Weil das Widerstandsmoment W = b·h²/6 quadratisch von h abhängt."
"Warum ist er sogar achtmal so steif?";"Weil das Trägheitsmoment I = b·h³/12 kubisch von h abhängt."
"Maßstab 1:50 – welcher Faktor für Flächen und Volumen?";"Flächen 50² = 2500, Volumen 50³ = 125 000."
"Was bedeutet der Unterschied zwischen linearem und exponentiellem Wachstum?";"Linear: gleicher Zuwachs je Schritt. Exponentiell: gleicher Faktor je Schritt (Zinseszinseffekt)."
"3,5 % Steigerung über 10 Jahre – warum nicht einfach 35 %?";"Weil jedes Jahr auch die Vorjahressteigerung mitwächst: 1,035¹⁰ = 1,41, also 41 %."
"Wie lautet die 70er-Regel?";"Verdopplungszeit ≈ 70 / Prozentsatz. Bei 3,5 % also rund 20 Jahre."
"Warum wird der Schallpegel logarithmisch angegeben?";"Weil das Ohr einen riesigen Bereich abdeckt; so wird daraus eine Skala von 0 bis 120 dB."
"Verdopplung der Schallenergie – wie viel dB mehr?";"+3 dB (10·lg2 = 3,01)."
"Was bedeutet 10 dB weniger subjektiv?";"Halb so laut empfunden – erfordert aber Reduktion der Schallenergie auf 1/10."
