Frage;Antwort
"Wann wird beim Runden die letzte Stelle aufgerundet?";"Wenn an der (n+1)-ten Stelle eine 5, 6, 7, 8 oder 9 steht."
"Runde 22,747 auf zwei Dezimalstellen.";"22,75 (die 7 dahinter rundet auf)."
"Was bedeutet das Zeichen ≈ ?";"ungefähr gleich – die Zahl ist gerundet (z. B. 25 835 ≈ 26 000)."
"Schreibe 250 kW in wissenschaftlicher Schreibweise (Watt).";"2,5 · 10^5 W"
"Welche Zehnerpotenz gehört zum Vorsatz µ (mikro)?";"10^-6"
"Welche Zehnerpotenz gehört zum Vorsatz G (Giga)?";"10^9"
"Wandle die Dualzahl 1011 ins Dezimalsystem um.";"1·8 + 0·4 + 1·2 + 1·1 = 11"
"Nenne die Zahlenmengen in aufsteigender Reihenfolge (Symbole).";"ℕ ⊂ ℤ ⊂ ℚ ⊂ ℝ ⊂ ℂ"
"Was unterscheidet ℤ von ℕ ?";"ℤ enthält zusätzlich die negativen Zahlen und die Null."
"Was ist eine rationale Zahl (ℚ)?";"Eine Zahl, die sich als Bruch p/q (q ≠ 0) schreiben lässt; dezimal endlich oder periodisch."
"Nenne zwei irrationale Zahlen.";"√2 und π (unendliche, nicht-periodische Dezimalzahlen)."
"Was ist die imaginäre Einheit i ?";"Eine Zahl mit i² = −1; Grundlage der komplexen Zahlen ℂ (Form a + b·i)."
"Wie lautet die Rechenreihenfolge?";"Klammer vor Potenz vor Punkt (·,:) vor Strich (+,−) – ''Punkt vor Strich''."
"Ergebnis von (−4)·(−3) ?";"+12 (gleiche Vorzeichen ergeben Plus)."
"Warum ist Division durch 0 verboten?";"Sie ist nicht definiert – es gibt keine Zahl, die mit 0 multipliziert den Dividenden ergibt."
"1. binomische Formel?";"(a + b)² = a² + 2ab + b²"
"2. binomische Formel?";"(a − b)² = a² − 2ab + b²"
"3. binomische Formel?";"(a + b)(a − b) = a² − b²"
"Multipliziere aus: (x − 3)²";"x² − 6x + 9 (2. binomische Formel)."
"Faktorisiere: x² − 16";"(x + 4)(x − 4) (3. binomische Formel)."
"Was bedeutet Faktorisieren / Ausklammern?";"Eine Summe in ein Produkt umwandeln: a·b + a·c = a·(b + c)."
"Wozu dient die Polynomdivision?";"Polynome dividieren, Nullstellen abspalten und Terme vereinfachen, z. B. (x²+5x+6):(x+2)=x+3."
"Warum rundet man überhaupt?";"So genau wie nötig, nicht wie möglich – Messgenauigkeit, Toleranz und Verwendungszweck entscheiden."
"Welche Genauigkeit ist im Hochbau für Längen üblich?";"1 cm (0,01 m); im Ausbau/Metallbau 1 mm; bei Vermessung 1 mm."
"Wann rundet man beim Materialbedarf ab?";"Nie – beim Bestellen wird immer aufgerundet (Verschnitt), sonst fehlt Material."
"Wann darf man Zwischenergebnisse runden?";"Gar nicht – erst das Endergebnis runden, sonst summieren sich die Fehler."
"Was ist 1 mm² in m²?";"10⁻⁶ m² – der Exponent wird mitquadriert!"
"Merkregel: 1 N/mm² = ?";"1 N/mm² = 1 MN/m² = 1 MPa – der Zahlenwert bleibt gleich."
"Beton C25/30: wie viel N/mm², MN/m², MPa?";"25 N/mm² = 25 MN/m² = 25 MPa (alles derselbe Wert)."
"E-Modul von Baustahl?";"210 000 N/mm² = 2,1 · 10⁵ N/mm² = 210 GPa."
"Wie viel steifer ist Stahl als Beton?";"Etwa 7-mal (2,1·10⁵ zu 3,1·10⁴ N/mm²) – deshalb übernimmt Bewehrung die Zugkräfte."
"Wie wandelt man 125 ins Dualsystem um?";"Größte Zweierpotenz abziehen: 64,32,16,8,4,(nicht 2),1 → 1111101₂."
"Wozu braucht man Dualzahlen im Bau?";"Gebäudeautomation (KNX), SPS-Steuerungen, digitale Messtechnik – Zustände 0/1."
"SPS meldet (00001011)₂ – welcher Dezimalwert?";"8+2+1 = 11; aktiv sind die Eingänge mit den Werten 8, 2 und 1."
